year,company,provider,e_score,s_score,g_score
2010,Volkswagen AG,MSCI,0.5,0.42,0.37
2011,Volkswagen AG,MSCI,0.43,0.42,0.44
2012,Volkswagen AG,MSCI,0.35,0.45,0.4
2013,Volkswagen AG,MSCI,0.47,0.51,0.42
2014,Volkswagen AG,MSCI,0.41,0.38,0.38
2015,Volkswagen AG,MSCI,0.44,0.38,0.38
2016,Volkswagen AG,MSCI,0.5,0.51,0.5
2017,Volkswagen AG,MSCI,0.4,0.45,0.41
2018,Volkswagen AG,MSCI,0.5,0.42,0.47
2019,Volkswagen AG,MSCI,0.39,0.38,0.48
2020,Volkswagen AG,MSCI,0.46,0.45,0.45
2000,Volkswagen AG,Sustainalytics,0.52,0.55,0.44
2001,Volkswagen AG,Sustainalytics,0.54,0.51,0.52
2002,Volkswagen AG,Sustainalytics,0.46,0.54,0.41
2003,Volkswagen AG,Sustainalytics,0.44,0.52,0.36
2004,Volkswagen AG,Sustainalytics,0.52,0.38,0.53
2005,Volkswagen AG,Sustainalytics,0.55,0.47,0.53
2006,Volkswagen AG,Sustainalytics,0.55,0.52,0.53
2007,Volkswagen AG,Sustainalytics,0.39,0.53,0.41
2008,Volkswagen AG,Sustainalytics,0.36,0.39,0.53
2009,Volkswagen AG,Sustainalytics,0.54,0.46,0.47
2010,Volkswagen AG,Sustainalytics,0.42,0.39,0.47
2011,Volkswagen AG,Sustainalytics,0.36,0.4,0.39
2012,Volkswagen AG,Sustainalytics,0.48,0.51,0.41
2013,Volkswagen AG,Sustainalytics,0.53,0.42,0.43
2014,Volkswagen AG,Sustainalytics,0.43,0.46,0.39
2015,Volkswagen AG,Sustainalytics,0.47,0.56,0.41
2016,Volkswagen AG,Sustainalytics,0.38,0.36,0.44
2017,Volkswagen AG,Sustainalytics,0.44,0.37,0.48
2018,Volkswagen AG,Sustainalytics,0.43,0.41,0.36
2019,Volkswagen AG,Sustainalytics,0.42,0.38,0.41
2020,Volkswagen AG,Sustainalytics,0.49,0.46,0.43
2000,Volkswagen AG,Bloomberg,0.5,0.67,0.51
2001,Volkswagen AG,Bloomberg,0.51,0.63,0.6
2002,Volkswagen AG,Bloomberg,0.6,0.56,0.61
2003,Volkswagen AG,Bloomberg,0.67,0.67,0.57
2004,Volkswagen AG,Bloomberg,0.55,0.59,0.54
2005,Volkswagen AG,Bloomberg,0.51,0.58,0.53
2006,Volkswagen AG,Bloomberg,0.62,0.59,0.5
2007,Volkswagen AG,Bloomberg,0.6,0.51,0.55
2008,Volkswagen AG,Bloomberg,0.63,0.6,0.62
2009,Volkswagen AG,Bloomberg,0.54,0.48,0.55
2010,Volkswagen AG,Bloomberg,0.63,0.53,0.64
2011,Volkswagen AG,Bloomberg,0.58,0.68,0.62
2012,Volkswagen AG,Bloomberg,0.53,0.49,0.64
2013,Volkswagen AG,Bloomberg,0.67,0.52,0.5
2014,Volkswagen AG,Bloomberg,0.5,0.52,0.49
2015,Volkswagen AG,Bloomberg,0.62,0.67,0.59
2016,Volkswagen AG,Bloomberg,0.55,0.48,0.67
2017,Volkswagen AG,Bloomberg,0.6,0.65,0.63
2018,Volkswagen AG,Bloomberg,0.55,0.62,0.61
2019,Volkswagen AG,Bloomberg,0.48,0.62,0.56
2020,Volkswagen AG,Bloomberg,0.59,0.5,0.55
2000,Volkswagen AG,ISS ESG,0.64,0.64,0.52
2001,Volkswagen AG,ISS ESG,0.46,0.46,0.57
2002,Volkswagen AG,ISS ESG,0.55,0.64,0.56
2003,Volkswagen AG,ISS ESG,0.46,0.57,0.59
2004,Volkswagen AG,ISS ESG,0.52,0.46,0.64
2005,Volkswagen AG,ISS ESG,0.44,0.51,0.53
2006,Volkswagen AG,ISS ESG,0.6,0.57,0.47
2007,Volkswagen AG,ISS ESG,0.48,0.56,0.55
2008,Volkswagen AG,ISS ESG,0.53,0.61,0.45
2009,Volkswagen AG,ISS ESG,0.53,0.49,0.52
2010,Volkswagen AG,ISS ESG,0.64,0.53,0.62
2011,Volkswagen AG,ISS ESG,0.54,0.5,0.57
2012,Volkswagen AG,ISS ESG,0.44,0.61,0.64
2013,Volkswagen AG,ISS ESG,0.54,0.64,0.47
2014,Volkswagen AG,ISS ESG,0.61,0.48,0.5
2015,Volkswagen AG,ISS ESG,0.62,0.44,0.49
2016,Volkswagen AG,ISS ESG,0.57,0.45,0.58
2017,Volkswagen AG,ISS ESG,0.54,0.57,0.62
2018,Volkswagen AG,ISS ESG,0.44,0.44,0.48
2019,Volkswagen AG,ISS ESG,0.5,0.53,0.61
2020,Volkswagen AG,ISS ESG,0.61,0.57,0.47
2000,Volkswagen AG,V.E,0.66,0.5,0.54
2001,Volkswagen AG,V.E,0.6,0.65,0.53
2002,Volkswagen AG,V.E,0.67,0.67,0.61
2003,Volkswagen AG,V.E,0.49,0.49,0.53
2004,Volkswagen AG,V.E,0.52,0.67,0.49
2005,Volkswagen AG,V.E,0.62,0.66,0.52
2006,Volkswagen AG,V.E,0.57,0.65,0.63
2007,Volkswagen AG,V.E,0.68,0.65,0.57
2008,Volkswagen AG,V.E,0.67,0.54,0.67
2009,Volkswagen AG,V.E,0.55,0.57,0.69
2010,Volkswagen AG,V.E,0.69,0.69,0.58
2011,Volkswagen AG,V.E,0.64,0.65,0.52
2012,Volkswagen AG,V.E,0.63,0.53,0.51
2013,Volkswagen AG,V.E,0.65,0.5,0.55
2014,Volkswagen AG,V.E,0.52,0.57,0.54
2015,Volkswagen AG,V.E,0.49,0.59,0.49
2016,Volkswagen AG,V.E,0.53,0.61,0.53
2017,Volkswagen AG,V.E,0.55,0.61,0.52
2018,Volkswagen AG,V.E,0.62,0.62,0.56
2019,Volkswagen AG,V.E,0.61,0.57,0.49
2020,Volkswagen AG,V.E,0.68,0.5,0.56
2000,Volkswagen AG,Refinitiv,0.44,0.56,0.47
2001,Volkswagen AG,Refinitiv,0.64,0.54,0.55
2002,Volkswagen AG,Refinitiv,0.59,0.52,0.62
2003,Volkswagen AG,Refinitiv,0.52,0.48,0.46
2004,Volkswagen AG,Refinitiv,0.63,0.63,0.55
2005,Volkswagen AG,Refinitiv,0.47,0.55,0.59
2006,Volkswagen AG,Refinitiv,0.57,0.55,0.54
2007,Volkswagen AG,Refinitiv,0.58,0.63,0.61
2008,Volkswagen AG,Refinitiv,0.62,0.59,0.64
2009,Volkswagen AG,Refinitiv,0.44,0.61,0.55
2010,Volkswagen AG,Refinitiv,0.45,0.6,0.63
2011,Volkswagen AG,Refinitiv,0.57,0.56,0.56
2012,Volkswagen AG,Refinitiv,0.51,0.48,0.52
2013,Volkswagen AG,Refinitiv,0.64,0.63,0.48
2014,Volkswagen AG,Refinitiv,0.48,0.62,0.53
2015,Volkswagen AG,Refinitiv,0.49,0.51,0.56
2016,Volkswagen AG,Refinitiv,0.44,0.56,0.58
2017,Volkswagen AG,Refinitiv,0.46,0.61,0.48
2018,Volkswagen AG,Refinitiv,0.45,0.5,0.56
2019,Volkswagen AG,Refinitiv,0.54,0.5,0.57
2020,Volkswagen AG,Refinitiv,0.63,0.53,0.61
2000,Volkswagen AG,CDP,0.54,0.49,0.59
2001,Volkswagen AG,CDP,0.47,0.56,0.6
2002,Volkswagen AG,CDP,0.45,0.48,0.44
2003,Volkswagen AG,CDP,0.57,0.45,0.51
2004,Volkswagen AG,CDP,0.58,0.52,0.54
2005,Volkswagen AG,CDP,0.44,0.61,0.56
2006,Volkswagen AG,CDP,0.52,0.49,0.54
2007,Volkswagen AG,CDP,0.45,0.49,0.58
2008,Volkswagen AG,CDP,0.57,0.63,0.45
2009,Volkswagen AG,CDP,0.53,0.55,0.57
2010,Volkswagen AG,CDP,0.61,0.44,0.54
2011,Volkswagen AG,CDP,0.58,0.48,0.5
2012,Volkswagen AG,CDP,0.64,0.64,0.52
2013,Volkswagen AG,CDP,0.45,0.62,0.51
2014,Volkswagen AG,CDP,0.59,0.5,0.47
2015,Volkswagen AG,CDP,0.63,0.49,0.48
2016,Volkswagen AG,CDP,0.54,0.49,0.45
2017,Volkswagen AG,CDP,0.58,0.63,0.62
2018,Volkswagen AG,CDP,0.58,0.44,0.59
2019,Volkswagen AG,CDP,0.56,0.46,0.6
2020,Volkswagen AG,CDP,0.62,0.45,0.55
2000,Volkswagen AG,Arabesque,0.56,0.66,0.66
2001,Volkswagen AG,Arabesque,0.7,0.54,0.57
2002,Volkswagen AG,Arabesque,0.62,0.61,0.53
2003,Volkswagen AG,Arabesque,0.5,0.55,0.64
2004,Volkswagen AG,Arabesque,0.67,0.5,0.64
2005,Volkswagen AG,Arabesque,0.55,0.6,0.5
2006,Volkswagen AG,Arabesque,0.66,0.66,0.66
2007,Volkswagen AG,Arabesque,0.66,0.63,0.51
2008,Volkswagen AG,Arabesque,0.5,0.6,0.51
2009,Volkswagen AG,Arabesque,0.64,0.57,0.6
2010,Volkswagen AG,Arabesque,0.59,0.52,0.61
2011,Volkswagen AG,Arabesque,0.56,0.68,0.54
2012,Volkswagen AG,Arabesque,0.62,0.54,0.62
2013,Volkswagen AG,Arabesque,0.7,0.7,0.58
2014,Volkswagen AG,Arabesque,0.6,0.63,0.5
2015,Volkswagen AG,Arabesque,0.65,0.67,0.68
2016,Volkswagen AG,Arabesque,0.64,0.51,0.57
2017,Volkswagen AG,Arabesque,0.65,0.67,0.52
2018,Volkswagen AG,Arabesque,0.61,0.64,0.51
2019,Volkswagen AG,Arabesque,0.55,0.5,0.54
2020,Volkswagen AG,Arabesque,0.53,0.68,0.5
2000,Mercedez-Benz Group AG,Provider,0.44,0.56,0.38
2001,Mercedez-Benz Group AG,Provider,0.39,0.4,0.48
2002,Mercedez-Benz Group AG,Provider,0.55,0.36,0.38
2003,Mercedez-Benz Group AG,Provider,0.44,0.46,0.44
2004,Mercedez-Benz Group AG,Provider,0.49,0.42,0.38
2005,Mercedez-Benz Group AG,Provider,0.5,0.43,0.37
2006,Mercedez-Benz Group AG,Provider,0.55,0.53,0.56
2007,Mercedez-Benz Group AG,Provider,0.41,0.41,0.45
2008,Mercedez-Benz Group AG,Provider,0.46,0.39,0.42
2009,Mercedez-Benz Group AG,Provider,0.42,0.36,0.47
2010,Mercedez-Benz Group AG,Provider,0.53,0.49,0.4
2011,Mercedez-Benz Group AG,Provider,0.37,0.47,0.42
2012,Mercedez-Benz Group AG,Provider,0.47,0.46,0.42
2013,Mercedez-Benz Group AG,Provider,0.53,0.36,0.52
2014,Mercedez-Benz Group AG,Provider,0.56,0.47,0.49
2015,Mercedez-Benz Group AG,Provider,0.5,0.45,0.37
2016,Mercedez-Benz Group AG,Provider,0.46,0.5,0.46
2017,Mercedez-Benz Group AG,Provider,0.51,0.48,0.51
2018,Mercedez-Benz Group AG,Provider,0.44,0.37,0.36
2019,Mercedez-Benz Group AG,Provider,0.52,0.51,0.51
2020,Mercedez-Benz Group AG,Provider,0.4,0.46,0.49
2000,Mercedez-Benz Group AG,MSCI,0.44,0.43,0.29
2001,Mercedez-Benz Group AG,MSCI,0.26,0.4,0.44
2002,Mercedez-Benz Group AG,MSCI,0.25,0.34,0.26
2003,Mercedez-Benz Group AG,MSCI,0.39,0.34,0.33
2004,Mercedez-Benz Group AG,MSCI,0.33,0.4,0.28
2005,Mercedez-Benz Group AG,MSCI,0.27,0.38,0.4
2006,Mercedez-Benz Group AG,MSCI,0.33,0.44,0.38
2007,Mercedez-Benz Group AG,MSCI,0.45,0.38,0.39
2008,Mercedez-Benz Group AG,MSCI,0.27,0.39,0.27
2009,Mercedez-Benz Group AG,MSCI,0.39,0.44,0.43
2010,Mercedez-Benz Group AG,MSCI,0.41,0.32,0.4
2011,Mercedez-Benz Group AG,MSCI,0.37,0.36,0.25
2012,Mercedez-Benz Group AG,MSCI,0.37,0.35,0.32
2013,Mercedez-Benz Group AG,MSCI,0.25,0.41,0.35
2014,Mercedez-Benz Group AG,MSCI,0.31,0.43,0.35
2015,Mercedez-Benz Group AG,MSCI,0.37,0.36,0.32
2016,Mercedez-Benz Group AG,MSCI,0.28,0.3,0.43
2017,Mercedez-Benz Group AG,MSCI,0.37,0.3,0.32
2018,Mercedez-Benz Group AG,MSCI,0.44,0.4,0.32
2019,Mercedez-Benz Group AG,MSCI,0.29,0.3,0.35
2020,Mercedez-Benz Group AG,MSCI,0.29,0.28,0.28
2000,Mercedez-Benz Group AG,Sustainalytics,0.36,0.37,0.39
2001,Mercedez-Benz Group AG,Sustainalytics,0.41,0.47,0.5
2002,Mercedez-Benz Group AG,Sustainalytics,0.38,0.5,0.43
2003,Mercedez-Benz Group AG,Sustainalytics,0.45,0.37,0.36
2004,Mercedez-Benz Group AG,Sustainalytics,0.41,0.46,0.32
2005,Mercedez-Benz Group AG,Sustainalytics,0.31,0.43,0.5
2006,Mercedez-Benz Group AG,Sustainalytics,0.32,0.47,0.34
2007,Mercedez-Benz Group AG,Sustainalytics,0.33,0.45,0.45
2008,Mercedez-Benz Group AG,Sustainalytics,0.44,0.44,0.31
2009,Mercedez-Benz Group AG,Sustainalytics,0.39,0.45,0.33
2010,Mercedez-Benz Group AG,Sustainalytics,0.5,0.33,0.5
2011,Mercedez-Benz Group AG,Sustainalytics,0.5,0.47,0.43
2012,Mercedez-Benz Group AG,Sustainalytics,0.37,0.51,0.47
2013,Mercedez-Benz Group AG,Sustainalytics,0.46,0.38,0.43
2014,Mercedez-Benz Group AG,Sustainalytics,0.36,0.4,0.51
2015,Mercedez-Benz Group AG,Sustainalytics,0.47,0.47,0.46
2016,Mercedez-Benz Group AG,Sustainalytics,0.42,0.49,0.35
2017,Mercedez-Benz Group AG,Sustainalytics,0.46,0.37,0.51
2018,Mercedez-Benz Group AG,Sustainalytics,0.48,0.34,0.35
2019,Mercedez-Benz Group AG,Sustainalytics,0.36,0.44,0.37
2020,Mercedez-Benz Group AG,Sustainalytics,0.31,0.46,0.42
2000,Mercedez-Benz Group AG,Bloomberg,0.48,0.39,0.4
2001,Mercedez-Benz Group AG,Bloomberg,0.53,0.41,0.45
2002,Mercedez-Benz Group AG,Bloomberg,0.51,0.43,0.46
2003,Mercedez-Benz Group AG,Bloomberg,0.47,0.41,0.5
2004,Mercedez-Benz Group AG,Bloomberg,0.39,0.53,0.51
2005,Mercedez-Benz Group AG,Bloomberg,0.55,0.56,0.5
2006,Mercedez-Benz Group AG,Bloomberg,0.58,0.55,0.45
2007,Mercedez-Benz Group AG,Bloomberg,0.46,0.49,0.44
2008,Mercedez-Benz Group AG,Bloomberg,0.41,0.55,0.49
2009,Mercedez-Benz Group AG,Bloomberg,0.41,0.56,0.47
2010,Mercedez-Benz Group AG,Bloomberg,0.42,0.5,0.46
2011,Mercedez-Benz Group AG,Bloomberg,0.42,0.45,0.4
2012,Mercedez-Benz Group AG,Bloomberg,0.45,0.58,0.45
2013,Mercedez-Benz Group AG,Bloomberg,0.56,0.41,0.58
2014,Mercedez-Benz Group AG,Bloomberg,0.4,0.5,0.38
2015,Mercedez-Benz Group AG,Bloomberg,0.47,0.38,0.56
2016,Mercedez-Benz Group AG,Bloomberg,0.51,0.53,0.55
2017,Mercedez-Benz Group AG,Bloomberg,0.44,0.56,0.55
2018,Mercedez-Benz Group AG,Bloomberg,0.55,0.4,0.47
2019,Mercedez-Benz Group AG,Bloomberg,0.49,0.52,0.54
2020,Mercedez-Benz Group AG,Bloomberg,0.55,0.52,0.57
2000,Mercedez-Benz Group AG,ISS ESG,0.46,0.49,0.46
2001,Mercedez-Benz Group AG,ISS ESG,0.36,0.37,0.37
2002,Mercedez-Benz Group AG,ISS ESG,0.53,0.55,0.46
2003,Mercedez-Benz Group AG,ISS ESG,0.54,0.42,0.44
2004,Mercedez-Benz Group AG,ISS ESG,0.42,0.54,0.41
2005,Mercedez-Benz Group AG,ISS ESG,0.43,0.46,0.37
2006,Mercedez-Benz Group AG,ISS ESG,0.47,0.56,0.4
2007,Mercedez-Benz Group AG,ISS ESG,0.5,0.4,0.43
2008,Mercedez-Benz Group AG,ISS ESG,0.38,0.48,0.56
2009,Mercedez-Benz Group AG,ISS ESG,0.55,0.55,0.46
2010,Mercedez-Benz Group AG,ISS ESG,0.37,0.51,0.39
2011,Mercedez-Benz Group AG,ISS ESG,0.42,0.37,0.55
2012,Mercedez-Benz Group AG,ISS ESG,0.41,0.5,0.53
2013,Mercedez-Benz Group AG,ISS ESG,0.55,0.46,0.44
2014,Mercedez-Benz Group AG,ISS ESG,0.55,0.4,0.38
2015,Mercedez-Benz Group AG,ISS ESG,0.43,0.52,0.49
2016,Mercedez-Benz Group AG,ISS ESG,0.56,0.56,0.46
2017,Mercedez-Benz Group AG,ISS ESG,0.43,0.51,0.47
2018,Mercedez-Benz Group AG,ISS ESG,0.55,0.43,0.37
2019,Mercedez-Benz Group AG,ISS ESG,0.53,0.43,0.52
2020,Mercedez-Benz Group AG,ISS ESG,0.52,0.4,0.48
2000,Mercedez-Benz Group AG,V.E,0.45,0.49,0.35
2001,Mercedez-Benz Group AG,V.E,0.43,0.43,0.52
2002,Mercedez-Benz Group AG,V.E,0.36,0.53,0.38
2003,Mercedez-Benz Group AG,V.E,0.44,0.34,0.41
2004,Mercedez-Benz Group AG,V.E,0.33,0.36,0.5
2005,Mercedez-Benz Group AG,V.E,0.4,0.53,0.4
2006,Mercedez-Benz Group AG,V.E,0.36,0.44,0.38
2007,Mercedez-Benz Group AG,V.E,0.4,0.46,0.52
2008,Mercedez-Benz Group AG,V.E,0.38,0.39,0.38
2009,Mercedez-Benz Group AG,V.E,0.34,0.34,0.37
2010,Mercedez-Benz Group AG,V.E,0.52,0.42,0.39
2011,Mercedez-Benz Group AG,V.E,0.4,0.51,0.38
2012,Mercedez-Benz Group AG,V.E,0.4,0.37,0.47
2013,Mercedez-Benz Group AG,V.E,0.42,0.43,0.4
2014,Mercedez-Benz Group AG,V.E,0.51,0.42,0.53
2015,Mercedez-Benz Group AG,V.E,0.48,0.47,0.4
2016,Mercedez-Benz Group AG,V.E,0.48,0.36,0.39
2017,Mercedez-Benz Group AG,V.E,0.43,0.48,0.48
2018,Mercedez-Benz Group AG,V.E,0.45,0.37,0.5
2019,Mercedez-Benz Group AG,V.E,0.47,0.52,0.4
2020,Mercedez-Benz Group AG,V.E,0.53,0.44,0.35
2000,Mercedez-Benz Group AG,Refinitiv,0.55,0.41,0.5
2001,Mercedez-Benz Group AG,Refinitiv,0.54,0.45,0.59
2002,Mercedez-Benz Group AG,Refinitiv,0.39,0.41,0.51
2003,Mercedez-Benz Group AG,Refinitiv,0.54,0.57,0.51
2004,Mercedez-Benz Group AG,Refinitiv,0.44,0.41,0.46
2005,Mercedez-Benz Group AG,Refinitiv,0.51,0.39,0.44
2006,Mercedez-Benz Group AG,Refinitiv,0.49,0.57,0.56
2007,Mercedez-Benz Group AG,Refinitiv,0.58,0.49,0.41
2008,Mercedez-Benz Group AG,Refinitiv,0.51,0.58,0.57
2009,Mercedez-Benz Group AG,Refinitiv,0.49,0.47,0.4
2010,Mercedez-Benz Group AG,Refinitiv,0.44,0.56,0.5
2011,Mercedez-Benz Group AG,Refinitiv,0.4,0.48,0.45
2012,Mercedez-Benz Group AG,Refinitiv,0.4,0.4,0.54
2013,Mercedez-Benz Group AG,Refinitiv,0.45,0.39,0.42
2014,Mercedez-Benz Group AG,Refinitiv,0.55,0.55,0.54
2015,Mercedez-Benz Group AG,Refinitiv,0.45,0.54,0.47
2016,Mercedez-Benz Group AG,Refinitiv,0.55,0.59,0.53
2017,Mercedez-Benz Group AG,Refinitiv,0.59,0.52,0.56
2018,Mercedez-Benz Group AG,Refinitiv,0.48,0.57,0.44
2019,Mercedez-Benz Group AG,Refinitiv,0.56,0.54,0.46
2020,Mercedez-Benz Group AG,Refinitiv,0.44,0.46,0.52
2000,Mercedez-Benz Group AG,CDP,0.46,0.35,0.42
2001,Mercedez-Benz Group AG,CDP,0.36,0.33,0.41
2002,Mercedez-Benz Group AG,CDP,0.41,0.39,0.42
2003,Mercedez-Benz Group AG,CDP,0.42,0.32,0.46
2004,Mercedez-Benz Group AG,CDP,0.27,0.47,0.37
2005,Mercedez-Benz Group AG,CDP,0.37,0.34,0.27
2006,Mercedez-Benz Group AG,CDP,0.39,0.41,0.35
2007,Mercedez-Benz Group AG,CDP,0.32,0.44,0.32
2008,Mercedez-Benz Group AG,CDP,0.38,0.38,0.34
2009,Mercedez-Benz Group AG,CDP,0.33,0.33,0.47
2010,Mercedez-Benz Group AG,CDP,0.29,0.33,0.3
2011,Mercedez-Benz Group AG,CDP,0.27,0.41,0.29
2012,Mercedez-Benz Group AG,CDP,0.35,0.44,0.44
2013,Mercedez-Benz Group AG,CDP,0.39,0.31,0.47
2014,Mercedez-Benz Group AG,CDP,0.35,0.32,0.3
2015,Mercedez-Benz Group AG,CDP,0.42,0.27,0.35
2016,Mercedez-Benz Group AG,CDP,0.3,0.38,0.45
2017,Mercedez-Benz Group AG,CDP,0.44,0.3,0.31
2018,Mercedez-Benz Group AG,CDP,0.34,0.36,0.28
2019,Mercedez-Benz Group AG,CDP,0.28,0.32,0.34
2020,Mercedez-Benz Group AG,CDP,0.38,0.46,0.34
2000,Mercedez-Benz Group AG,Arabesque,0.28,0.4,0.46
2001,Mercedez-Benz Group AG,Arabesque,0.46,0.37,0.28
2002,Mercedez-Benz Group AG,Arabesque,0.27,0.3,0.33
2003,Mercedez-Benz Group AG,Arabesque,0.3,0.29,0.31
2004,Mercedez-Benz Group AG,Arabesque,0.36,0.34,0.28
2005,Mercedez-Benz Group AG,Arabesque,0.44,0.44,0.26
2006,Mercedez-Benz Group AG,Arabesque,0.27,0.28,0.34
2007,Mercedez-Benz Group AG,Arabesque,0.37,0.44,0.45
2008,Mercedez-Benz Group AG,Arabesque,0.37,0.29,0.28
2009,Mercedez-Benz Group AG,Arabesque,0.26,0.35,0.35
2010,Mercedez-Benz Group AG,Arabesque,0.35,0.33,0.38
2011,Mercedez-Benz Group AG,Arabesque,0.33,0.29,0.43
2012,Mercedez-Benz Group AG,Arabesque,0.44,0.4,0.38
2013,Mercedez-Benz Group AG,Arabesque,0.3,0.27,0.4
2014,Mercedez-Benz Group AG,Arabesque,0.36,0.4,0.29
2015,Mercedez-Benz Group AG,Arabesque,0.44,0.36,0.27
2016,Mercedez-Benz Group AG,Arabesque,0.44,0.36,0.44
2017,Mercedez-Benz Group AG,Arabesque,0.31,0.26,0.46
2018,Mercedez-Benz Group AG,Arabesque,0.36,0.41,0.39
2019,Mercedez-Benz Group AG,Arabesque,0.39,0.27,0.44
2020,Mercedez-Benz Group AG,Arabesque,0.32,0.45,0.33
2000,Renault SA,Provider,0.57,0.53,0.51
2001,Renault SA,Provider,0.54,0.58,0.52
2002,Renault SA,Provider,0.59,0.62,0.55
2003,Renault SA,Provider,0.51,0.53,0.62
2004,Renault SA,Provider,0.51,0.52,0.52
2005,Renault SA,Provider,0.55,0.6,0.45
2006,Renault SA,Provider,0.54,0.55,0.44
2007,Renault SA,Provider,0.63,0.49,0.62
2008,Renault SA,Provider,0.5,0.58,0.45
2009,Renault SA,Provider,0.63,0.44,0.63
2010,Renault SA,Provider,0.55,0.49,0.55
2011,Renault SA,Provider,0.61,0.51,0.63
2012,Renault SA,Provider,0.52,0.58,0.54
2013,Renault SA,Provider,0.47,0.59,0.58
2014,Renault SA,Provider,0.56,0.53,0.46
2015,Renault SA,Provider,0.49,0.57,0.45
2016,Renault SA,Provider,0.45,0.53,0.56
2017,Renault SA,Provider,0.48,0.6,0.56
2018,Renault SA,Provider,0.59,0.63,0.63
2019,Renault SA,Provider,0.44,0.54,0.62
2020,Renault SA,Provider,0.59,0.53,0.47
2000,Renault SA,MSCI,0.7,0.59,0.66
2001,Renault SA,MSCI,0.61,0.72,0.55
2002,Renault SA,MSCI,0.6,0.65,0.67
2003,Renault SA,MSCI,0.66,0.6,0.54
2004,Renault SA,MSCI,0.53,0.53,0.55
2005,Renault SA,MSCI,0.68,0.67,0.68
2006,Renault SA,MSCI,0.71,0.56,0.71
2007,Renault SA,MSCI,0.53,0.68,0.69
2008,Renault SA,MSCI,0.58,0.62,0.73
2009,Renault SA,MSCI,0.61,0.67,0.59
2010,Renault SA,MSCI,0.65,0.68,0.6
2011,Renault SA,MSCI,0.62,0.54,0.61
2012,Renault SA,MSCI,0.72,0.59,0.55
2013,Renault SA,MSCI,0.64,0.55,0.62
2014,Renault SA,MSCI,0.54,0.68,0.53
2015,Renault SA,MSCI,0.59,0.71,0.62
2016,Renault SA,MSCI,0.57,0.66,0.56
2017,Renault SA,MSCI,0.66,0.61,0.55
2018,Renault SA,MSCI,0.61,0.71,0.61
2019,Renault SA,MSCI,0.54,0.54,0.68
2020,Renault SA,MSCI,0.6,0.53,0.73
2000,Renault SA,Sustainalytics,0.56,0.51,0.51
2001,Renault SA,Sustainalytics,0.55,0.54,0.47
2002,Renault SA,Sustainalytics,0.5,0.57,0.51
2003,Renault SA,Sustainalytics,0.61,0.53,0.47
2004,Renault SA,Sustainalytics,0.62,0.61,0.49
2005,Renault SA,Sustainalytics,0.62,0.5,0.51
2006,Renault SA,Sustainalytics,0.44,0.59,0.48
2007,Renault SA,Sustainalytics,0.52,0.47,0.62
2008,Renault SA,Sustainalytics,0.44,0.64,0.62
2009,Renault SA,Sustainalytics,0.62,0.6,0.64
2010,Renault SA,Sustainalytics,0.59,0.58,0.6
2011,Renault SA,Sustainalytics,0.56,0.54,0.55
2012,Renault SA,Sustainalytics,0.55,0.45,0.59
2013,Renault SA,Sustainalytics,0.45,0.44,0.53
2014,Renault SA,Sustainalytics,0.56,0.45,0.61
2015,Renault SA,Sustainalytics,0.59,0.45,0.5
2016,Renault SA,Sustainalytics,0.55,0.57,0.54
2017,Renault SA,Sustainalytics,0.53,0.51,0.62
2018,Renault SA,Sustainalytics,0.63,0.6,0.56
2019,Renault SA,Sustainalytics,0.56,0.55,0.54
2020,Renault SA,Sustainalytics,0.6,0.61,0.44
2000,Renault SA,Bloomberg,0.74,0.74,0.65
2001,Renault SA,Bloomberg,0.7,0.62,0.76
2002,Renault SA,Bloomberg,0.59,0.76,0.72
2003,Renault SA,Bloomberg,0.62,0.59,0.67
2004,Renault SA,Bloomberg,0.7,0.57,0.77
2005,Renault SA,Bloomberg,0.58,0.76,0.62
2006,Renault SA,Bloomberg,0.6,0.74,0.63
2007,Renault SA,Bloomberg,0.59,0.59,0.62
2008,Renault SA,Bloomberg,0.73,0.75,0.61
2009,Renault SA,Bloomberg,0.58,0.71,0.6
2010,Renault SA,Bloomberg,0.6,0.74,0.69
2011,Renault SA,Bloomberg,0.75,0.6,0.68
2012,Renault SA,Bloomberg,0.77,0.57,0.74
2013,Renault SA,Bloomberg,0.59,0.76,0.73
2014,Renault SA,Bloomberg,0.68,0.7,0.63
2015,Renault SA,Bloomberg,0.71,0.73,0.62
2016,Renault SA,Bloomberg,0.61,0.7,0.65
2017,Renault SA,Bloomberg,0.6,0.69,0.69
2018,Renault SA,Bloomberg,0.58,0.62,0.76
2019,Renault SA,Bloomberg,0.67,0.73,0.59
2020,Renault SA,Bloomberg,0.67,0.66,0.71
2000,Renault SA,ISS ESG,0.72,0.73,0.6
2001,Renault SA,ISS ESG,0.67,0.59,0.55
2002,Renault SA,ISS ESG,0.72,0.57,0.55
2003,Renault SA,ISS ESG,0.73,0.71,0.57
2004,Renault SA,ISS ESG,0.72,0.68,0.69
2005,Renault SA,ISS ESG,0.73,0.65,0.71
2006,Renault SA,ISS ESG,0.7,0.68,0.59
2007,Renault SA,ISS ESG,0.57,0.57,0.61
2008,Renault SA,ISS ESG,0.66,0.57,0.73
2009,Renault SA,ISS ESG,0.72,0.57,0.67
2010,Renault SA,ISS ESG,0.62,0.72,0.66
2011,Renault SA,ISS ESG,0.64,0.69,0.59
2012,Renault SA,ISS ESG,0.63,0.68,0.69
